# tablE for ExpErimEntal ratE
#                         
#    T8     ratE 

6603
0.12779975 1.8193878E-65
0.12794697 1.9320551E-65
0.12809436 2.0516542E-65
0.12824192 2.178609E-65
0.12838964 2.3133689E-65
0.12853754 2.4564104E-65
0.12868561 2.6082394E-65
0.12883385 2.7693921E-65
0.12898226 2.9404373E-65
0.12913085 3.1219784E-65
0.1292796 3.3146551E-65
0.12942852 3.519146E-65
0.12957762 3.7361709E-65
0.12972689 3.966493E-65
0.12987633 4.2109215E-65
0.13002594 4.470315E-65
0.13017572 4.7455835E-65
0.13032568 5.0376924E-65
0.13047581 5.3476651E-65
0.13062611 5.6765869E-65
0.13077659 6.0256086E-65
0.13092723 6.3959505E-65
0.13107806 6.7889064E-65
0.13122905 7.2058481E-65
0.13138022 7.6482301E-65
0.13153157 8.1175945E-65
0.13168309 8.6155762E-65
0.13183478 9.1439088E-65
0.13198665 9.7044298E-65
0.13213869 1.0299087E-64
0.13229091 1.0929947E-64
0.1324433 1.1599198E-64
0.13259587 1.2309162E-64
0.13274861 1.3062298E-64
0.13290153 1.3861216E-64
0.13305463 1.4708679E-64
0.1332079 1.5607618E-64
0.13336135 1.656114E-64
0.13351498 1.7572536E-64
0.13366878 1.8645297E-64
0.13382276 1.9783121E-64
0.13397692 2.0989929E-64
0.13413126 2.2269874E-64
0.13428577 2.3627361E-64
0.13444046 2.5067057E-64
0.13459533 2.6593906E-64
0.13475038 2.8213151E-64
0.13490561 2.9930345E-64
0.13506101 3.1751375E-64
0.1352166 3.3682479E-64
0.13537236 3.5730266E-64
0.1355283 3.7901739E-64
0.13568442 4.0204322E-64
0.13584073 4.2645877E-64
0.13599721 4.5234736E-64
0.13615387 4.797973E-64
0.13631071 5.0890212E-64
0.13646774 5.3976093E-64
0.13662494 5.7247874E-64
0.13678233 6.0716681E-64
0.1369399 6.4394299E-64
0.13709765 6.8293217E-64
0.13725558 7.2426662E-64
0.13741369 7.680865E-64
0.13757198 8.1454025E-64
0.13773046 8.6378517E-64
0.13788912 9.1598784E-64
0.13804796 9.7132474E-64
0.13820699 1.0299828E-63
0.13836619 1.0921601E-63
0.13852559 1.1580662E-63
0.13868516 1.2279235E-63
0.13884492 1.3019671E-63
0.13900486 1.3804464E-63
0.13916499 1.4636252E-63
0.1393253 1.5517831E-63
0.1394858 1.6452163E-63
0.13964648 1.7442383E-63
0.13980735 1.8491811E-63
0.1399684 1.9603965E-63
0.14012964 2.078257E-63
0.14029106 2.2031569E-63
0.14045267 2.3355139E-63
0.14061446 2.4757702E-63
0.14077645 2.6243943E-63
0.14093861 2.7818821E-63
0.14110097 2.9487585E-63
0.14126351 3.1255798E-63
0.14142624 3.3129345E-63
0.14158916 3.511446E-63
0.14175226 3.7217744E-63
0.14191555 3.9446183E-63
0.14207903 4.1807177E-63
0.1422427 4.4308557E-63
0.14240656 4.6958615E-63
0.14257061 4.9766131E-63
0.14273484 5.2740397E-63
0.14289927 5.5891254E-63
0.14306388 5.9229115E-63
0.14322868 6.2765005E-63
0.14339368 6.6510597E-63
0.14355886 7.0478243E-63
0.14372423 7.4681022E-63
0.1438898 7.9132775E-63
0.14405555 8.3848154E-63
0.1442215 8.8842667E-63
0.14438763 9.4132727E-63
0.14455396 9.9735709E-63
0.14472048 1.0567E-62
0.14488719 1.1195506E-62
0.1450541 1.1861148E-62
0.14522119 1.2566107E-62
0.14538848 1.3312688E-62
0.14555596 1.4103334E-62
0.14572363 1.4940628E-62
0.1458915 1.5827303E-62
0.14605956 1.6766253E-62
0.14622782 1.7760539E-62
0.14639626 1.8813401E-62
0.14656491 1.9928266E-62
0.14673374 2.1108762E-62
0.14690277 2.2358727E-62
0.147072 2.3682222E-62
0.14724142 2.5083542E-62
0.14741104 2.6567235E-62
0.14758085 2.8138111E-62
0.14775085 2.9801257E-62
0.14792106 3.1562057E-62
0.14809145 3.3426209E-62
0.14826205 3.5399736E-62
0.14843284 3.7489015E-62
0.14860383 3.970079E-62
0.14877501 4.2042193E-62
0.14894639 4.4520773E-62
0.14911797 4.7144512E-62
0.14928975 4.9921855E-62
0.14946173 5.2861735E-62
0.1496339 5.5973601E-62
0.14980627 5.9267447E-62
0.14997884 6.2753844E-62
0.15015161 6.6443974E-62
0.15032458 7.0349662E-62
0.15049775 7.4483417E-62
0.15067111 7.8858467E-62
0.15084468 8.3488804E-62
0.15101845 8.8389225E-62
0.15119241 9.3575377E-62
0.15136658 9.9063812E-62
0.15154095 1.0487203E-61
0.15171552 1.1101854E-61
0.15189028 1.1752291E-61
0.15206526 1.2440584E-61
0.15224043 1.3168921E-61
0.1524158 1.3939618E-61
0.15259138 1.475512E-61
0.15276716 1.5618015E-61
0.15294314 1.653104E-61
0.15311932 1.7497086E-61
0.15329571 1.8519214E-61
0.1534723 1.9600655E-61
0.15364909 2.0744831E-61
0.15382609 2.1955354E-61
0.15400329 2.3236048E-61
0.15418069 2.4590952E-61
0.1543583 2.6024338E-61
0.15453612 2.7540722E-61
0.15471414 2.9144877E-61
0.15489236 3.084185E-61
0.15507079 3.2636976E-61
0.15524942 3.4535893E-61
0.15542826 3.6544562E-61
0.15560731 3.8669286E-61
0.15578656 4.0916723E-61
0.15596602 4.3293914E-61
0.15614569 4.5808301E-61
0.15632556 4.8467748E-61
0.15650564 5.1280569E-61
0.15668593 5.4255548E-61
0.15686642 5.7401973E-61
0.15704713 6.0729658E-61
0.15722804 6.4248974E-61
0.15740916 6.7970884E-61
0.15759049 7.1906972E-61
0.15777202 7.606948E-61
0.15795377 8.0471346E-61
0.15813573 8.5126241E-61
0.15831789 9.0048614E-61
0.15850027 9.5253731E-61
